央视,#genre#
CCTV-1,http://192.168.1.1:4022/udp/238.255.2.91:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000021973/index.m3u8?stbId=525df83028c9244a9e874fc466bb34cd&channel-id=ystenlive&Contentid=1000000001000021973&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000021973&owchid=ystenlive&owsid=9114151598788718381&AuthInfo=D3mFc20oKblIQ%2BhnCK09DxvusIlJIWwB6%2B9wOnBYOfHmpKc81lPaQdDAcUBOgd1bT271%2FPzf0Gg7CYucvQYW3MSnJU%2BaGpAd%2FB%2B22bk1oQYzASmSoNWbvATUb5OJt1hh#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/8380729188125675257/1.m3u8?stbId=005301FF001589101611549359B92C46&channel-id=shvoolive&Contentid=8380729188125675257&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=8380729188125675257&owchid=shvoolive&owsid=9810361579531242552&AuthInfo=2TOfGIahP4HrGWrHbpJXVOhAZZf%2B%2BRvFCOimr7PCGr9K%2B8TGA2jGwhx%2FP%2B9zbDc6lyCFd7nUPkjV5yhX4M591q%2Bjz%2FVPZBSXzMBonFGRPep2MwYhKpmBifYKbDBIkjbE#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225710/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv1_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv1hd/2500/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226527/index.m3u8
CCTV-2,http://192.168.1.1:4022/udp/238.255.2.11:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000012442/index.m3u8?stbId=f99a429d4cece57cb3b67a0b54131a61&channel-id=ystenlive&Contentid=1000000001000012442&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000012442&owchid=ystenlive&owsid=2734851598788695119&AuthInfo=kK4icW6v5eSpxbfBxv02ckE%2FiRowOvSn1Ic%2BjtgUfQTmpKc81lPaQdDAcUBOgd1beLo3WP2GeVfy%2BKHzIZkpffH6ulbW5izSWP5LC8zKW0V%2BCguYRnzeq6KX1odHhV5j#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/9059700522149664924/1.m3u8?stbId=005301FF00158910000000212621A0DD&channel-id=shvoolive&Contentid=9059700522149664924&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=9059700522149664924&owchid=shvoolive&owsid=9176631579531299298&AuthInfo=2TOfGIahP4HrGWrHbpJXVOJq5SVvpOdgyIf7tzyuJqdYhL2umVWk4VA%2BiWro6vS%2FGYbJQ4PkF2oGSeOSrHR8kErWftutbDOGxkGeSWuC8HvRlxrsJs3srD2VEDgCtlA%2B#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225747/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv2_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv2hd/3000/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226468/index.m3u8
CCTV-3,http://192.168.1.1:4022/udp/238.255.2.133:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000011218/index.m3u8?stbId=12eb2e8be5a498aa0141fc90ce5cfb97&channel-id=ystenlive&Contentid=1000000001000011218&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000011218&owchid=ystenlive&owsid=8532821598788977782&AuthInfo=qXfUxByWcOGFswp2wy7%2FXhp4ogKoCuWS5cuTIbK4SwvmpKc81lPaQdDAcUBOgd1bBMd1XLjzJ2fKla5xcUuGsvXWtVdGXR8uE3Bo6keiN2CgKIVuJ1fI3XNH1YOeDSuN#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/7583927553614607925/1.m3u8?stbId=005301FF001589101611549359B9531C&channel-id=shvoolive&Contentid=7583927553614607925&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=7583927553614607925&owchid=shvoolive&owsid=4975061579531175360&AuthInfo=2TOfGIahP4HrGWrHbpJXVMtGfw%2Bi1RmSk6DRVWhSYHpPQhuPB3gB9HD2kYmj6h2ghYJH%2BZemKqNLOjvtazNyyelvyYAlIu0Li8OHrMDUf9T6xYM6NbVkTDG8Dli2hoZV#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv3_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226431/index.m3u8
CCTV-4,http://192.168.1.1:4022/udp/238.255.2.92:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000031664/index.m3u8?stbId=a6e3164662e3d0c56427287f432bef15&channel-id=ystenlive&Contentid=1000000002000031664&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000002000031664&owchid=ystenlive&owsid=9367461598788980918&AuthInfo=2qipD6zJKEo%2F52DIW2fWz7G6mRrrE7irbGI4c6ZY3hhZ8dvE280%2FJtQtAtv4LrPNNedJ3KLK8xRKSj1WlaJU8f%2BmnS5dM1lUWfYt1sMVMNgBioQ%2BUF8mLNc6%2FccBFxxX#http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=&version=1.0&owaccmark=1000000002000031664&owchid=ystenlive&owsid=4493204828580187354&AuthInfo=zmDeINsczUw%2bXOm6icTIplPJYM0PdJZ7nyJeCqAhmgD4h2W12vkSCe%2bw8qoQi5%2fj1BMuqFcEHMRAJlgQD47XRVqqHN3O4Si9Wv7MjAX%2b8AK0eHLMDmPByGK0oSB43DB7#http://112.17.40.142/PLTV/88888888/224/3221226171/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv4zhongwenguoji_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv4hd/3000/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226171/index.m3u8
CCTV-5,http://192.168.1.1:4022/udp/238.255.2.134:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000004794/index.m3u8?stbId=e74d18a5a98f8304471c5ef9a9e755ab&channel-id=ystenlive&Contentid=1000000001000004794&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000004794&owchid=ystenlive&owsid=7515601598789112327&AuthInfo=pbUTLy5YoJMfKFbqfn3DX9ifMNMZGe7Yxm0PdSBFu7%2FmpKc81lPaQdDAcUBOgd1brmMwPnwwXdLVynOXiq6dJVAl7wuj8QhKDbQ625RQAAV4FZy2tGq8BAjb2qX89hoE#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/8134369599538150431/1.m3u8?stbId=005301FF001589101611549359B91F12&channel-id=shvoolive&Contentid=8134369599538150431&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=8134369599538150431&owchid=shvoolive&owsid=9856681579531396965&AuthInfo=2TOfGIahP4HrGWrHbpJXVHgbCHVZZF5UUv019%2FSsh88KJM1EuxjKGjHOptOCA%2B9qy7SUSUSlFcfpzdjGKbaNwXQPpC5RWUW%2BWPXxlyqlAmmp3eZqD0kAJRbC1HQjeP48#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225711/index.m3u8#http://cbnlive.cbchot.com/live/ty_cctv5_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv5hdnew/2500/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226400/index.m3u8
CCTV-5+,http://192.168.1.1:4022/udp/238.255.2.185:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000018504/index.m3u8?stbId=76ac1a14b137ce155bb56040a65754f3&channel-id=ystenlive&Contentid=1000000001000018504&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000018504&owchid=ystenlive&owsid=9476131598789246794&AuthInfo=v3upaoPZeTt4IukAtZik%2FJtAPkCYxnwlW7IA5UWtAT7mpKc81lPaQdDAcUBOgd1b1qdmH5ywJcJYNq5BM7T1Yeu9hohmnZUiaHZPSipO0V7doHIgXEZopTgxR6UeEqV9#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000020505/1.m3u8?stbId=005301FF001589101611549359B92F26&channel-id=ystenlive&Contentid=1000000001000020505&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000020505&owchid=ystenlive&owsid=3007521579531929012&AuthInfo=2TOfGIahP4HrGWrHbpJXVPo6e%2BHF%2BrVo6xQQtyKDSuqu3lLj0NrV6tPDBIsVEpn3e3h8FJNoRfXgk2fJ%2B8A%2BC9FKxw7DogGmhnFazyXoBZJZPx01aV9Q%2Bs%2B%2FVnd4tZOQ#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8#http://cbnlive.cbchot.com/live/ty_cctv5+_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226166/index.m3u8
CCTV-6,http://192.168.1.1:4022/udp/238.255.2.135:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000001737/index.m3u8?stbId=998de7cd3728173801e375a36cf5b089&channel-id=ystenlive&Contentid=1000000001000001737&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000001737&owchid=ystenlive&owsid=1411151598789559002&AuthInfo=pULf%2FGpM9IZzejJNFThw4MxoVeuSQh6l05djqt1gUmnmpKc81lPaQdDAcUBOgd1bOEkJ11dsg1GKEJOUucA0eEqDzAvETmZpi7Adwda737gdhQndBtBtfbnn01AuXbjU#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/6705015643145867202/1.m3u8?stbId=005301FF00158910000000212621A501&channel-id=shvoolive&Contentid=6705015643145867202&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=6705015643145867202&owchid=shvoolive&owsid=7641431579531463387&AuthInfo=2TOfGIahP4HrGWrHbpJXVGtyhHJPIcRRegoBYBxkr5gU2nvM3aYRu9pk6g1cfGsxitbm7ri6Y%2BkjLjny72IEdjBnss%2Faslq1wPHTyGHeHFYaAuxUDnXfdynLgAo%2FAhgd#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv6_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226487/index.m3u8
CCTV-7,http://192.168.1.1:4022/udp/238.255.2.12:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000017218/index.m3u8?stbId=803694ee3ec24984d25a8e05c6af003a&channel-id=ystenlive&Contentid=1000000001000017218&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000017218&owchid=ystenlive&owsid=1972911598789486455&AuthInfo=%2BT2D6xWH%2B0zq1nbRufa0UZd0DoRsFFzYo343%2B6GP5fnmpKc81lPaQdDAcUBOgd1b2F%2Fr298WKXbL2W0yN05tWmGUwUInrHPq00Ou0OXedmlyEY354Eduk0yKGYah2bMe#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/9021776916726275968/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=shvoolive&Contentid=9021776916726275968&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=9021776916726275968&owchid=shvoolive&owsid=1117721579531499433&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5ZvwycVHGQkBt0T4Mgr0s8ldsXtd9fDrW5osGZSl1tYFcN4xKXGPanSFGs4GR6kXBOyjKyNYEmAQ7njzvrMpDpEoy#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv7_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv7hd/50/index.m3u8?ProgramID=&encrypt=#http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv7hd/51/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8,http://192.168.1.1:4022/udp/238.255.2.136:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000003736/index.m3u8?stbId=d8957265e5c0ec0c92a95dbf8ca6c5ce&channel-id=ystenlive&Contentid=1000000001000003736&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000003736&owchid=ystenlive&owsid=2302491598789652514&AuthInfo=0jOaB10JV%2Fnu5EmoldZ9P%2BrauEvIFNYptE%2BPiGFMQ4vmpKc81lPaQdDAcUBOgd1bTEkpExeqGRZK0CIc%2FfeiGwFJcb%2FY2FXMXq0wrZliRd9B%2B9sP2uqlnp1z%2FKfaRmnY#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/6718199708332952607/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=shvoolive&Contentid=6718199708332952607&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=6718199708332952607&owchid=shvoolive&owsid=5415971579531545952&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5ZvwhPD49%2ByoYvwp35mAdL%2Fiv3IhMa6%2BWOwlWxbCOH9ParUjWZpISKyxZZPoQtekRP1dMl%2BCp9T%2BIEdj1ckDKKfLV#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/index.m3u8#http://cbnlive.cbchot.com/live/ty_cctv8_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226330/index.m3u8
CCTV-9,http://192.168.1.1:4022/udp/238.255.2.155:5999#http://61.163.111.46/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000014583/1.m3u8?stbId=0000019901080880122D73828EA0380122&Contentid=1000000001000014583&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000014583&owchid=ystenlive&owsid=4338721585038261952&AuthInfo=Y6uTJfT18TDBSIoN9u6g3AOqOh8NLzzTig2lX7JzaG3nH48mxyGlgTfU6CXNvmsupWSw%2Fdus3%2Bf1eqSKOUrCq6JHcslqBp23svFGNWjNl0tQQLE6mLv49C61Je5b7NGx#http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000014583/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=ystenlive&Contentid=1000000001000014583&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000014583&owchid=ystenlive&owsid=7167961579531601678&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5Zvyu3lLj0NrV6tPDBIsVEpn34sImpRHeOmdxmKUDLs1%2BcZ4JMWbvuFdY7IsuWCFdW392C%2BvFQjyH4LwQq4yRWFvT#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://cbnlive.cbchot.com/live/yt_cctv9_h_1.m3u8?123#http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv9hd/50/index.m3u8?ProgramID=&encrypt=#http://live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv9hd/51/index.m3u8?ProgramID=&encrypt=#http://39.134.176.253/PLTV/88888888/224/3221226561/index.m3u8
